year,Prices
2003,27204.7878156316
2004,28033.252890854143
2005,28861.717966076918
2006,29690.183041299693
2007,30518.648116522236
2008,31347.11319174501
2009,32175.578266967786
2010,33004.04334219056
2011,33832.508417413104
2012,34660.97349263588
2013,35489.438567858655
